                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6156,                 2.8635,                 1.5716,                0.02621,                0.90576,                0.36485,                0.23602,                 1.0186,                 2.6286,                 1.1756,                0.00026,                0.00026,                0.00026
                      2,                 1.0797,                 2.4927,                 1.1746,                0.02712,                0.93717,                0.47786,                0.29063,                 1.0247,                 2.6154,                 1.1586,             0.00052931,             0.00052931,             0.00052931
                      3,                 1.0509,                 2.1713,                 1.1282,                0.02742,                0.94764,                  0.584,                0.40764,                 1.0905,                 2.5479,                 1.1654,             0.00078753,             0.00078753,             0.00078753
                      4,                 1.0701,                 1.8358,                 1.1387,                0.02727,                0.94241,                0.60424,                0.39254,                 1.0299,                 2.5332,                 1.1019,              0.0010347,              0.0010347,              0.0010347
                      5,                 1.0523,                 1.5355,                 1.1305,                0.02727,                0.94241,                0.58133,                0.42344,                 1.0677,                 2.4441,                 1.1733,              0.0012707,              0.0012707,              0.0012707
                      6,                 1.0652,                 1.2921,                 1.1542,                0.86179,                 0.5288,                0.65615,                0.45655,                 1.1186,                 2.0237,                 1.1957,              0.0014957,              0.0014957,              0.0014957
                      7,                  1.031,                 1.2007,                 1.1422,                0.86524,                 0.6178,                 0.7203,                0.49401,                 1.1277,                  1.848,                 1.1831,              0.0017095,              0.0017095,              0.0017095
                      8,                0.97771,                 1.0955,                 1.1382,                0.83306,                0.71204,                0.80894,                0.58351,                 1.0252,                 1.2751,                 1.1554,              0.0017228,              0.0017228,              0.0017228
                      9,                0.93796,                  1.034,                 1.1101,                0.89543,                0.69634,                0.78504,                0.54355,                 1.1515,                 1.1971,                 1.1649,              0.0016832,              0.0016832,              0.0016832
                     10,                0.94889,                 1.0506,                  1.109,                 0.8555,                0.74396,                0.83672,                0.61618,                0.98228,                 1.0465,                 1.1116,              0.0016436,              0.0016436,              0.0016436
                     11,                0.86304,                0.92747,                 1.0477,                0.82696,                0.82723,                0.87866,                0.65343,                0.94677,                0.97465,                 1.1174,               0.001604,               0.001604,               0.001604
                     12,                0.82646,                0.94055,                 1.0412,                0.82249,                0.84906,                0.87126,                0.63684,                0.98263,                 1.0526,                 1.1146,              0.0015644,              0.0015644,              0.0015644
                     13,                0.85745,                0.91896,                 1.0528,                0.82935,                0.81426,                0.88623,                  0.684,                0.86795,                 0.9059,                 1.0628,              0.0015248,              0.0015248,              0.0015248
                     14,                0.80608,                0.87297,                 1.0255,                0.81965,                0.73764,                0.83201,                 0.6646,                0.81913,                0.92763,                 1.0379,              0.0014852,              0.0014852,              0.0014852
                     15,                0.77508,                 0.8336,                 1.0066,                0.80467,                0.78534,                0.85819,                0.67592,                0.79751,                0.88536,                 1.0377,              0.0014456,              0.0014456,              0.0014456
                     16,                0.80062,                0.87254,                 1.0211,                0.87103,                0.88399,                0.91654,                0.72518,                0.78734,                 0.7748,                 1.0115,               0.001406,               0.001406,               0.001406
                     17,                0.78284,                0.81997,                 1.0166,                 0.8386,                0.86387,                0.91354,                  0.731,                0.79139,                0.78347,                 1.0081,              0.0013664,              0.0013664,              0.0013664
                     18,                0.77266,                0.81956,                 1.0035,                0.86793,                0.83246,                 0.9119,                 0.7382,                 0.7268,                0.77365,                 1.0048,              0.0013268,              0.0013268,              0.0013268
