epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.96512,1.48635,2.35375,1.48881,0.87466,0.37385,0.51188,0.34308,1.1453,2.32169,1.35188,0.0004,0.0004,0.0004
2,16.5406,1.11505,1.43559,1.23031,0.63539,0.52902,0.5781,0.40485,1.24417,1.82842,1.35435,0.000803764,0.000803764,0.000803764
3,23.2278,1.00996,1.24848,1.17887,0.674,0.45357,0.57885,0.39909,1.1574,2.03731,1.28736,0.0011909,0.0011909,0.0011909
4,30.0607,0.94124,1.17785,1.13032,0.74049,0.625,0.7254,0.52818,1.09851,1.3926,1.26035,0.0015614,0.0015614,0.0015614
5,36.544,0.97792,1.14226,1.13716,0.7196,0.66429,0.70573,0.48138,1.17758,1.46058,1.33386,0.0018416,0.0018416,0.0018416
6,43.2569,0.92099,1.0874,1.11331,0.67106,0.68487,0.71313,0.47707,1.2902,1.36575,1.39588,0.001802,0.001802,0.001802
7,49.7316,0.9192,1.03005,1.10251,0.85474,0.75656,0.83786,0.62833,1.04319,1.09309,1.23559,0.0017624,0.0017624,0.0017624
8,56.9573,0.87064,0.98609,1.0812,0.86124,0.77583,0.85466,0.6473,0.95542,0.99048,1.16481,0.0017228,0.0017228,0.0017228
9,63.6608,0.89862,1.01995,1.09029,0.84421,0.77857,0.85531,0.66374,0.90945,0.96204,1.10715,0.0016832,0.0016832,0.0016832
10,70.7086,0.83947,0.96391,1.06366,0.83762,0.79216,0.85618,0.67564,0.86445,0.95125,1.05795,0.0016436,0.0016436,0.0016436
11,77.9651,0.81214,0.92536,1.04731,0.83546,0.7798,0.84706,0.66196,0.8036,0.95876,1.03895,0.001604,0.001604,0.001604
12,85.4581,0.80741,0.88311,1.04072,0.85992,0.81786,0.87457,0.67143,0.92071,0.94535,1.09656,0.0015644,0.0015644,0.0015644
13,92.9026,0.80529,0.86582,1.04017,0.82176,0.83214,0.87103,0.67236,0.88296,0.95113,1.13432,0.0015248,0.0015248,0.0015248
14,99.9197,0.76389,0.88669,1.04269,0.8185,0.82142,0.86601,0.689,0.78312,0.89778,1.04234,0.0014852,0.0014852,0.0014852
15,107.124,0.76472,0.90035,1.04148,0.85248,0.84619,0.89371,0.71977,0.75182,0.84667,1.02135,0.0014456,0.0014456,0.0014456
16,114.28,0.74935,0.83393,1.01811,0.85194,0.81429,0.88925,0.70918,0.79306,0.84586,1.03376,0.001406,0.001406,0.001406
17,121.941,0.77598,0.84456,1.01841,0.84499,0.84286,0.89326,0.71609,0.77728,0.81557,1.03753,0.0013664,0.0013664,0.0013664
18,129.363,0.74486,0.82306,1.02333,0.86645,0.83415,0.87933,0.69101,0.79758,0.83572,1.03657,0.0013268,0.0013268,0.0013268
19,137.541,0.72828,0.79215,1.01181,0.8392,0.84643,0.87608,0.69382,0.80148,0.80241,1.04975,0.0012872,0.0012872,0.0012872
20,145.358,0.73442,0.78293,1.00528,0.84832,0.85,0.88989,0.71478,0.77928,0.77786,1.05283,0.0012476,0.0012476,0.0012476
21,152.817,0.71316,0.77956,1.01118,0.85274,0.84794,0.89905,0.73521,0.74876,0.75332,1.05454,0.001208,0.001208,0.001208
22,161.425,0.69653,0.76446,0.99837,0.86316,0.875,0.91205,0.73043,0.77944,0.73955,1.03981,0.0011684,0.0011684,0.0011684
